,Cluster,cluster,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
29,a,a,GO:0016055,Wnt signaling pathway,92/1889,460/28891,3.24771705762375e-22,6.68245782166927e-20,3.73104337109951e-20,Amer1/Amer2/Bicc1/Ccne1/Cdh1/Cdh2/Cela1/Col1a1/Cpz/Csnk1d/Cthrc1/Ctnnbip1/Dact1/Dixdc1/Dkk1/Dkk2/Dkk3/Ednra/Egfr/Emd/Fermt2/Fgf10/Fgfr2/Fgfr3/Foxd1/Frzb/Fzd1/Fzd2/Fzd4/Fzd7/Fzd9/Gata3/Gid8/Gli1/Gli3/Gpc3/Grb10/Grk5/Hdac2/Hic1/Hnf1a/Hnf1b/Isl1/Lef1/Lrrfip2/Lypd6/Mapk14/Mark1/Mcc/Mdfic/Mdk/Mllt3/Myoc/Ndp/Nkd1/Notum/Peg12/Pitx2/Pkd2/Porcn/Prkaa1/Pygo1/Rab5a/Rac3/Rbms3/Reck/Ror1/Rspo3/Sdc1/Sfrp1/Sfrp2/Shisa3/Siah2/Snai2/Sostdc1/Sulf1/Sulf2/Tbl1xr1/Tbx18/Tgfb1i1/Tle1/Tle3/Tmem170b/Tnks/Tpbg/Trabd2b/Vgll4/Wnt11/Wnt2b/Wnt4/Wnt5a/Zeb2,92
31,a,a,GO:0001667,ameboidal-type cell migration,93/1889,471/28891,4.92358794965195e-22,9.47711267599136e-20,5.29139418018623e-20,Acta2/Adora2b/Adtrp/Ager/Ago2/Akt3/Angpt1/Angpt2/Angpt4/Arhgdib/Bmp4/Braf/Ccbe1/Cd248/Cdh13/Cdh2/Cxcl12/Cxcl13/Cyp1b1/Dcn/Ddr2/Dmtn/Dock1/Dpp4/Edn3/Ednra/Efna1/Efnb2/Egr3/Emp2/Ets1/Fap/Fer/Fgf10/Fgf7/Fgfr1/Fn1/Foxc2/Foxp1/Fstl1/Gata3/Glipr2/Hand2/Hdac7/Hdac9/Hyal1/Igf1/Irs1/Isl1/Itgb4/Kdr/Kit/Map4k4/Mapre2/Mcc/Met/Nanos1/Nr2f2/Nrp1/Nrtn/Pafah1b1/Pak1/Pitx2/Pmp22/Prkd1/Prox1/Prr5l/Ret/Rffl/Rhoj/Rras/Rtn4/Sema3d/Sema3e/Sema4f/Sema6a/Sh3bp1/Slit2/Snai1/Snai2/Srpx2/Stard13/Tek/Tgfb2/Tgfbr1/Tgfbr2/Tgfbr3/Tpbg/Twist1/Vegfc/Wnt11/Wnt5a/Zeb2,93
34,a,a,GO:2000146,negative regulation of cell motility,74/1889,326/28891,1.86413638436897e-21,3.27155935456755e-19,1.82662280387857e-19,Adarb1/Adtrp/Ager/Angpt2/Angpt4/Ap1ar/Arhgdib/Arid2/Bcl2/Braf/Cdh1/Cdh11/Chrd/Clic4/Cnn2/Col3a1/Crk/Cxcl12/Cxcl13/Cyp1b1/Dach1/Dcn/Dlc1/Dpep1/Dpp4/Dpysl3/Drd4/Emilin1/Emilin2/Eng/Epha4/Fbln1/Frmd5/Gata3/Gm266/Hdac2/Hoxa7/Igfbp5/Il33/Ing2/Mapk15/Mcc/Mctp1/Myocd/Ngfr/Nr2f2/Nrg1/Ogt/Plcb1/Prkg1/Ptger4/Ptn/Ptprj/Ptprk/Reck/Rras/Sap30/Scai/Sfrp1/Sfrp2/Slit2/Stard13/Stk24/Suds3/Sulf1/Tcaf1/Tgfbr3/Thy1/Tmeff2/Tpm1/Trp53inp1/Wnt11/Wnt4/Zeb2,74
41,a,a,GO:0050678,regulation of epithelial cell proliferation,84/1889,426/28891,5.53990386335762e-20,8.06258691528168e-18,4.50161636136761e-18,Adora2b/Ager/Agtr1a/Akt3/Arx/Bmp4/Bmp5/Bnc1/Cask/Cdh1/Cdh13/Cdkn1c/Celf1/Cldn1/Cxcl12/Dbh/Dlk1/Eaf2/Ecm1/Ednra/Efnb2/Egfr/Egr3/Eng/Esr1/Fgf10/Fgf7/Fgfr1/Fgfr2/Fgfr3/Foxp1/Foxp2/Fzd7/Gas1/Gata3/Gli1/Gli2/Gpc3/Hes1/Hlx/Hoxa5/Hpn/Hyal1/Ift74/Igf1/Il18/Irf6/Isl1/Kdr/Kif3a/Klf9/Lims2/Mcc/Mdk/Ngfr/Nr2f2/Nras/Nupr1/Osr1/Osr2/Pgf/Prkd1/Prox1/Ptn/Ptprk/Rtn4/Sfrp1/Sfrp2/Six4/Snai2/Sox11/Stxbp4/Sulf1/Sulf2/Tbx18/Tek/Tgfb2/Tgfbr1/Tgfbr3/Twist1/Twist2/Vash2/Vegfc/Wnt5a,84
42,a,a,GO:0090287,regulation of cellular response to growth factor stimulus,71/1889,323/28891,8.31286778405204e-20,1.18102100160568e-17,6.59404173847737e-18,Adamts12/Adamts3/Agtr2/Angpt1/Bmp4/Cask/Ccbe1/Cd59a/Cdkn1c/Chrd/Chrdl1/Chst11/Creb3l1/Cxcl13/Dcn/Dkk1/Emilin1/Eng/Fgf10/Fgfr1/Foxd1/Fst/Fstl1/Fzd1/Fzd4/Gata3/Gpc3/Grb10/Hdac2/Hes1/Hhip/Ing2/Itga8/Kdr/Lox/Msx1/Myocd/Ngfr/Npnt/Nrp1/Nrxn1/Ofd1/Ogt/Pbld1/Prdm16/Sap30/Sema6a/Sfrp1/Sfrp2/Sh3glb1/Slc2a10/Slc9a6/Slit2/Sostdc1/Sox11/Spry1/Suds3/Sulf1/Sulf2/Tbx20/Tek/Tfap2b/Tgfb1i1/Tgfbr3/Tmem108/Vegfc/Wnt4/Wnt5a/Zdhhc17/Zeb2/Zfp423,71
49,a,a,GO:0048638,regulation of developmental growth,79/1889,405/28891,1.40080584818684e-18,1.70583846859814e-16,9.52427606769357e-17,Actn3/Arx/Atrn/Bcl11a/Bcl2/Bcl2l11/Bdnf/Capn3/Cdh1/Cdkn1a/Celf1/Cpne5/Crabp2/Csf1/Ctdp1/Cxcl12/Dbn1/Efna5/Epha7/Fgf20/Fgfr1/Fgfr2/Fgfr3/Fn1/Foxc1/Foxc2/Foxp1/Ghr/Gli1/Gnas/Hdac2/Hey2/Hlx/Hnf1b/Igf1/Jarid2/Mapk1/Mapk11/Mapk14/Mgll/Ncam1/Nkd1/Npy1r/Nr3c1/Nrg1/Nrp1/Ntrk3/Olfm1/Pafah1b1/Pak1/Plac8/Plcb1/Prox1/Ptger4/Rgs4/Rps6kb1/Rtn4/Rufy3/Sema3d/Sema3e/Sema4f/Sema6a/Sh3glb1/Sh3pxd2b/Six4/Slit2/Syt1/Syt4/Tbx2/Tbx20/Tgfbr1/Tgfbr2/Tgfbr3/Tomm70a/Trim46/Ttl/Ulk2/Vgll4/Wnt5a,79
50,a,a,GO:0061448,connective tissue development,68/1889,316/28891,1.65913515632614e-18,1.98001189555961e-16,1.10550795153099e-16,Adamts12/Amer1/Arrdc3/Bgn/Bmp1/Bmp4/Bmp5/Bmpr1b/Cfh/Chst11/Chsy1/Col1a1/Col3a1/Csf1/Csgalnact1/Dgat2/Dlx2/Ecm1/Fgfr1/Fgfr3/Foxc2/Foxd1/Frzb/Gata3/Gdf6/Gli2/Gli3/Gnas/Hand2/Hoxa3/Hoxa5/Hoxb3/Hoxc4/Hoxd3/Id4/Igf1/Lox/Maf/Mapk14/Mdk/Mgp/Msx1/Nkx3-2/Osr1/Osr2/Pdgfd/Pdgfrb/Pkdcc/Prkaa1/Prrx1/Pth1r/Rarb/Rarg/Sfrp2/Sh3pxd2b/Smad9/Snai1/Snai2/Sulf1/Sulf2/Tbl1xr1/Tgfb2/Tgfbr1/Tgfbr2/Thbs3/Trps1/Wnt5a/Zbtb16,68
54,a,a,GO:0030198,extracellular matrix organization,68/1889,322/28891,4.73477958728505e-18,5.23193144394998e-16,2.92116518396826e-16,Abi3bp/Adamts12/Adamts15/Adamts18/Adamts3/Adamts4/Adamts5/Adamtsl1/Adamtsl4/Adtrp/Apbb1/Aplp1/Ccdc80/Col13a1/Col1a1/Col1a2/Col22a1/Col3a1/Col4a6/Col5a2/Creb3l1/Crispld2/Csgalnact1/Cyp1b1/Ddr2/Dpp4/Egfl6/Eln/Emilin1/Eng/Ets1/Fap/Fbln1/Flrt2/Fn1/Foxc1/Foxc2/Gas2/Hmcn1/Hpn/Ibsp/Itga8/Lama2/Lamc1/Lox/Mansc4/Mfap4/Mmp14/Mmp16/Mmp19/Myh11/Npnt/Pmp22/Postn/Ptx3/Ramp2/Reck/Ric1/Scara3/Serpinf2/Sfrp2/Sh3pxd2b/Slc2a10/Slc39a8/Sulf1/Sulf2/Tgfb2/Tgfbr1,68
67,a,a,GO:0060560,developmental growth involved in morphogenesis,63/1889,292/28891,2.63226487824144e-17,2.34428724305473e-15,1.30889526152933e-15,Bcl11a/Bdnf/Bmp4/Cdh1/Cpne5/Crabp2/Csf1/Cxcl12/Dbn1/Edn3/Ednra/Efna5/Emx1/Epha7/Esr1/Fgf10/Fgfr2/Flrt3/Fn1/Hnf1b/Impact/Kif26b/Mgll/Nin/Nkd1/Nlgn3/Nrp1/Ntrk3/Olfm1/Pafah1b1/Pak1/Postn/Prkg1/Raph1/Rarg/Rtn4/Rufy3/Sema3d/Sema3e/Sema4f/Sema6a/Sfrp1/Sfrp2/Sh3glb1/Six4/Slc9a6/Slit2/Slit3/Spry1/St8sia2/Syt1/Syt4/Tbx2/Tgfbr2/Tmem108/Tnc/Trim28/Trim46/Ttl/Ulk2/Wnt11/Wnt5a/Zeb2,63
68,a,a,GO:0010959,regulation of metal ion transport,83/1889,461/28891,2.96527068563481e-17,2.60202502664454e-15,1.45279902786907e-15,Abcc9/Adora2a/Ager/Agtr1a/Ahnak/Akt3/Ank2/Arrb2/Bcl2/Best1/Bmp4/Cacna1g/Cacna2d1/Cacnb1/Cacnb3/Capn3/Cask/Cntn1/Cxcl12/Dpp6/Drd4/Edn3/Ednra/Ehd3/F2r/Fgf12/Fgf14/Fmr1/Fxyd1/Gal/Gnas/Gper1/Grip1/Hes1/Homer2/Homer3/Hsd3b6/Igf1/Isl1/Jph2/Jph3/Kcnab1/Kcnab2/Kcne4/Kcnip1/Kcnip2/Kcnip3/Kcnip4/Lhcgr/Myo5a/Nkain1/Nkain4/Oprk1/Oprl1/Osr1/Pacsin3/Pcsk9/Pde4b/Pde4d/Pdgfrb/Pkd2/Plcb1/Prkd1/Prnp/Prss8/Ptger3/Rapgef3/Rem1/Rgs4/Rgs9/Scnn1b/Sestd1/Slmap/Snca/Snta1/Snx27/Stac/Stim2/Tgfb2/Thy1/Tmem38a/Trpc6/Ubqln1,83
70,a,a,GO:0031346,positive regulation of cell projection organization,83/1889,463/28891,3.87136432291444e-17,3.30006155926149e-15,1.84253655368785e-15,Abi2/Acsl6/Apbb1/Bcl11a/Bdnf/Bmp4/Bmp5/Braf/Cask/Ccp110/Ccr7/Cd24a/Cdc42ep3/Cnr1/Cntn1/Crabp2/Cux1/Cux2/Cxcl12/Dbn1/Ddr2/Dixdc1/Dlg4/Dnm3/Dock11/Dpysl3/Dzip1/Efna5/Epha3/Epha4/Ephb2/Eps8l1/Eps8l2/Fbxo31/Fgfr1/Fmr1/Fn1/Fnbp1l/Fzd1/Fzd4/Gpc2/Gpm6a/Grip1/Hgf/Kctd17/Kit/Marcks/Mdk/Met/Mfn1/Nefl/Negr1/Neurl1a/Ngfr/Nin/Nrg1/Nrp1/Nrxn1/Ntrk2/Ntrk3/Pafah1b1/Pak1/Palm/Pik3r1/Ppp1r9a/Prkci/Prkd1/Ptn/Rab8b/Rap1a/Ret/Robo2/Ror1/Rufy3/Sh3glb1/Stk24/Tenm3/Tgfbr1/Ttbk2/Vldlr/Wnt5a/Zdhhc15/Zeb2,83
71,a,a,GO:0098742,cell-cell adhesion via plasma-membrane adhesion molecules,52/1889,211/28891,4.27398639738057e-17,3.55079360257075e-15,1.98252877706975e-15,Alcam/Amigo2/Cd24a/Cdh1/Cdh10/Cdh11/Cdh13/Cdh16/Cdh2/Cdh24/Cdh26/Cdh6/Cdh8/Cdh9/Cldn1/Cldn2/Clstn1/Clstn2/Cntn6/Dchs1/Efna5/Emb/Epha3/Fat4/Flrt3/Gata5/Hmcn1/Il1rap/Kifap3/Kirrel3/Lgals1/Lgals9/Lrfn5/Lrrc4c/Mapk14/Nrg1/Nrxn1/Ntng1/Palld/Pcdh1/Pcdh18/Pcdh19/Pcdh20/Pcdh8/Pcdhb16/Ret/Robo2/Scarf2/Tenm3/Tgfb2/Tgfbr2/Vcam1,52
73,a,a,GO:0033002,muscle cell proliferation,61/1889,280/28891,5.16268330233476e-17,4.21996318699062e-15,2.35614890438205e-15,Ace2/Ager/Agtr1a/Angpt1/Arid2/Bmp4/Calcrl/Cdh13/Cdkn1a/Cnn1/Ctnnbip1/Dbh/Ddr2/Drd4/Ednra/Egfr/Esr1/Fgf20/Fgfr1/Fgfr2/Foxc1/Foxc2/Foxp1/Gli1/Gper1/Hdac2/Hey2/Hgf/Igf1/Igfbp5/Il15/Il18/Jarid2/Mapk1/Mapk11/Mapk14/Megf10/Myh10/Myocd/Ncam1/Notch3/Nrg1/Pak1/Pde1a/Pde4d/Pdgfd/Pdgfrb/Pik3r1/Prkg1/Rgs5/Rps6kb1/Serpinf2/Spon2/Tbx2/Tbx20/Tgfb2/Tgfbr1/Tgfbr2/Tgfbr3/Tpm1/Vgll4,61
75,a,a,GO:0060021,roof of mouth development,35/1889,101/28891,6.15872068313411e-17,4.8998781755015e-15,2.73576855608694e-15,Alx1/Bnc2/Dhrs3/Ephb2/Fzd1/Fzd2/Gas1/Gdf11/Gli3/Hand2/Irf6/Lef1/Lrrc32/Msx1/Osr1/Osr2/Pds5a/Pkdcc/Plekha1/Prdm16/Prrx1/Snai1/Snai2/Sox11/Tbx2/Tbx3/Tcf21/Tgfb2/Tgfbr1/Tgfbr2/Tgfbr3/Tshz1/Wnt11/Wnt5a/Zfp950,35
91,a,a,GO:0007015,actin filament organization,81/1889,471/28891,1.08866683637017e-15,7.13854396991295e-14,3.98569177225168e-14,Abi2/Actc1/Actn1/Add2/Aif1l/Ap1ar/Arhgap28/Arhgap6/Bcl2/Braf/Cald1/Cap2/Catip/Cd2ap/Cd47/Cdc42ep3/Cnn1/Cnn2/Cotl1/Dbn1/Dlc1/Dmtn/Dpysl3/Eln/Emp2/Fam171a1/Fer/Fermt2/Fhod1/Gas2/Gba2/Limd2/Lpar1/Marcks/Met/Myh10/Myo1b/Myo5a/Myoc/Nox4/Nrp1/Pak1/Pakap/Pdxp/Phactr1/Pik3r1/Plek/Plekhg2/Pls3/Ppp1r9a/Prex1/Prkci/Prox1/Ptger4/Rac3/Rapgef3/Rgs4/Rhobtb1/Rhobtb2/Rhoj/Rhou/Rufy3/Samd14/Serpinf2/Sh3bp1/Sh3pxd2b/Shroom3/Slit2/Snx9/Tagln3/Tgfbr1/Tmeff2/Tnnt2/Tpm1/Tpm2/Tpm4/Ush1c/Wasf3/Wnt11/Wnt4/Zeb2,81
