,Cluster,cluster,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
67,a,a,GO:0044772,mitotic cell cycle phase transition,74/1567,454/28891,1.94143054589018e-17,1.70034543929606e-15,8.65942076949289e-16,Abcb1b/Aif1/Anp32b/Aurkb/Bach1/Bard1/Birc5/Bub1/Bub1b/Ccna2/Ccnb1/Ccnb2/Ccnd1/Ccne1/Ccne2/Ccng2/Ccni/Ccnj/Cdc25c/Cdca5/Cdca8/Cdk1/Cdkn2c/Cenpe/Cenpf/Chfr/Cit/Cks2/Clspn/Dact1/Dbf4/Dcun1d3/Ddr2/Dgkz/Dtl/E2f4/E2f7/Fbxo5/Fgf10/Foxm1/Gen1/Hecw2/Kcna5/Kif14/Klf11/Kntc1/Mad2l1/Mastl/Myc/Ndc80/Nek6/Nes/Nuf2/Pkia/Plk1/Ppp3ca/Psme3/Rad21/Rb1/Rbbp8/Rrm2/Sass6/Spc24/Spc25/Spdl1/Stil/Tacc3/Tgfb1/Tjp3/Tmod3/Trim71/Ttk/Ube2s/Ush1c,74
73,a,a,GO:0034329,cell junction assembly,76/1567,481/28891,4.27242205286077e-17,3.43432501454617e-15,1.74901315184884e-15,Ace2/Ache/Actn1/Add2/Arf6/Arhgef9/Bdnf/Cbln1/Cbln4/Cdh1/Cdh10/Cdh11/Cdh13/Cdh18/Cdh19/Cdh26/Cdh6/Cdh8/Cldn13/Cldn18/Cldn23/Cldn3/Cldn4/Cldn6/Cldn7/Cldn9/Cntn5/Crb3/Ctnnd2/Cux2/Dapk3/Dkk1/Dmtn/Dnm3/Ect2/Efna5/Efnb2/Elavl2/Epha3/Ephb3/Flrt3/Fn1/Gabra1/Gabrb2/Gap43/Gja5/Gjc1/Grhl2/Il1rap/Il1rapl2/Itgb3/Kcnj8/Lrp4/Marveld3/Mef2c/Myh9/Nlgn3/Nrg1/Nrp1/Ntrk2/Ntrk3/Ocln/Pdlim5/Pik3r1/Pkp3/Plxnb1/Rap2a/Rhpn1/Robo1/Six4/Slitrk4/Slitrk6/Snca/Sorbs1/St8sia2/Tek,76
77,a,a,GO:0030198,extracellular matrix organization,59/1567,322/28891,1.5322178467773e-16,1.16766939284275e-14,5.94663905263261e-15,Adamts15/Adamts18/Adamts3/Adamts5/Adamtsl1/Adamtsl4/Aplp1/Atxn1l/Col11a1/Col11a2/Col1a1/Col1a2/Col2a1/Col3a1/Col4a6/Col5a3/Col8a1/Col8a2/Col9a1/Crispld2/Ctss/Ddr2/Fbln5/Fgfr4/Fn1/Foxc1/Foxc2/Foxf1/Foxf2/Has3/Ibsp/Ihh/Itga8/Itgb3/Lamb3/Lcp1/Loxl2/Matn4/Mkx/Mmp16/Notch1/Postn/Prickle1/Ptx3/Rb1/Serpinf2/Sfrp2/Slc39a8/Smoc2/Smpd3/Sox9/Spint1/Sulf2/Tgfb1/Tgfb2/Tgfbr1/Thsd4/Tnfrsf1b/Vtn,59
81,a,a,GO:0031346,positive regulation of cell projection organization,73/1567,463/28891,2.02089333759777e-16,1.4640249512375e-14,7.45590147555565e-15,Ache/Ankrd1/Anln/Arsb/Bcl11a/Bdnf/Bmp4/Braf/Camk1d/Ccp110/Cd24a/Cdc42ep3/Cep135/Cobl/Cux2/Cxcl12/Ddr2/Dnm3/Dpysl3/Efna5/Elavl4/Enc1/Epha3/Epor/F2rl1/Fn1/Fzd4/Hap1/Hgf/Hspa5/L1cam/Lpar3/Lyn/Map1b/Marcks/Mdk/Nefl/Nrg1/Nrp1/Ntrk2/Ntrk3/P2ry12/Pafah1b1/Pias2/Pik3r1/Plce1/Plek2/Plxnb1/Ptprz1/Rab8b/Rac2/Ret/Robo1/Ror1/Ror2/Rreb1/Scarb2/Serpine2/Sgk1/Sh3glb1/Shox2/Skil/Snap91/Stmn2/Tgfbr1/Tmem30a/Tox/Trpv2/Ttbk2/Vil1/Vldlr/Wasf2/Zeb2,73
83,a,a,GO:0070371,ERK1 and ERK2 cascade,63/1567,367/28891,3.83448339062297e-16,2.71093355857537e-14,1.38060854102455e-14,Ace2/Ackr3/Acta2/Akap12/Angpt1/Arrb1/Bmp4/Bmper/Braf/C1qtnf3/C5ar1/Ccl12/Ccl2/Ccl24/Ccl3/Ccl6/Ccl7/Ccl9/Ccr1/Csf1r/Cxcl12/Dab2/Dusp10/Dusp4/Dusp6/Edn1/Epor/F2r/F2rl1/Fgf10/Fgfr4/Fn1/Glipr2/Gpr183/Grb10/Hand2/Icam1/Itgb3/L1cam/Lyn/Myc/Myh9/Notch1/Npy/Nrg1/Nrp1/P2ry1/P2ry6/Pdgfc/Pdgfrb/Ptprc/Ptprr/Serpinf2/Sirpa/Slc30a10/Sox9/Spry1/Tek/Tgfb1/Tlr4/Tnfrsf11a/Trem2/Trf,63
84,a,a,GO:0007015,actin filament organization,73/1567,471/28891,5.1467577183081e-16,3.59537789178952e-14,1.83103322835548e-14,Acta1/Actc1/Actn1/Add2/Aif1/Aif1l/Arf6/Arhgap25/Arhgef10l/Arrb1/Braf/Ccl24/Cdc42ep3/Cit/Cnn1/Cnn2/Cobl/Coro1a/Dmtn/Dpysl3/Elmo1/F2rl1/Fhdc1/Gas2l3/Gmfb/Gmfg/Gpr65/Hcls1/Icam1/Lcp1/Lmod1/Magel2/Marcks/Mtss1/Myh9/Myo1f/Myo1g/Myo5c/Nckap1l/Nrp1/Pawr/Pdlim1/Pik3r1/Plek/Pls1/Prox1/Pstpip2/Rac2/Rgs4/Rhpn1/Rhpn2/Rnd3/Serpinf2/Sirpa/Sorbs1/Spta1/Sptb/Ssh2/Synpo/Tagln2/Tagln3/Tgfbr1/Tmeff2/Tmod1/Tmod3/Tpm4/Trf/Ush1c/Vil1/Was/Wasf2/Wasf3/Zeb2,73
85,a,a,GO:0042060,wound healing,63/1567,370/28891,5.73560726468952e-16,3.95959334461154e-14,2.01651876463821e-14,Adamts18/Adra2b/Alox5/C1galt1c1/Ccl2/Cldn13/Cldn3/Cldn4/Clec10a/Clec7a/Cnn2/Col3a1/Cxadr/Ddr2/Dmtn/Emilin2/F13a1/F2r/F2rl1/F3/Fcer1g/Fermt3/Fgf10/Fn1/Foxc2/Fzd7/Gata1/Gata2/Gnas/Gp1bb/Gpx1/Grhl3/Hbegf/Il6ra/Itgb3/Kng2/Lilrb4a/Lyn/Mfsd2b/Myh9/Nog/Nrg1/P2ry1/P2ry12/Pik3cb/Plaur/Plek/Prkg1/Rreb1/Serpine2/Serpinf2/Shh/Slc11a1/Slc4a1/Smoc2/Syt11/Tec/Thbd/Tlr4/Tmeff2/Tubb1/Vil1/Vtn,63
86,a,a,GO:0071900,regulation of protein serine/threonine kinase activity,60/1567,343/28891,7.93535425155409e-16,5.4144952032697e-14,2.75746275644578e-14,Adrb2/Ccna2/Ccnb1/Ccnb2/Ccnd1/Ccne1/Ccne2/Ccng2/Ccni/Ccnj/Cd24a/Cd300a/Cdkn2c/Dab2/Dkk1/Dusp10/Edn1/Fgd2/Fzd4/Gadd45a/Gpr39/Hhex/Hmga2/Kras/Lyn/Marcks/Mef2c/Myocd/Nr2f2/Ntf3/Ntrk3/Pdgfc/Pdgfrb/Pik3cb/Pik3cg/Pik3r6/Pkia/Plk1/Prox1/Psrc1/Ptprc/Rb1/Robo1/Ror2/Sfn/Sfrp1/Sfrp2/Sfrp5/Snca/Spry1/Spry4/Stil/Tgfb1/Tlr4/Tnfaip3/Tnfrsf11a/Traf6/Trib1/Trib3/Zeb2,60
87,a,a,GO:0048771,tissue remodeling,46/1567,215/28891,8.10166592896459e-16,5.46443398519129e-14,2.78289529005813e-14,Abcb1b/Acp5/Adrb2/Ahr/Angpt2/Car2/Cd24a/Cd38/Cldn18/Clec10a/Csf1r/Cspg4/Ctss/Dbh/Ddr2/Dlk1/Enpp1/Epas1/F2r/Fgf10/Foxc1/Foxc2/Gja5/Hand2/Hoxa3/Igfbp5/Ihh/Inpp4b/Inpp5d/Itga4/Itgb3/Jag1/Mdk/Mef2c/Ppp3ca/Pth1r/Rac2/Rspo3/Sema3c/Sfrp1/Tbx1/Tgfb2/Tmem119/Tnfrsf11a/Traf6/Trf,46
95,a,a,GO:0051983,regulation of chromosome segregation,35/1567,132/28891,2.30967775686051e-15,1.42665148181657e-13,7.26556803515454e-14,Aurkb/Birc5/Bub1/Bub1b/Ccnb1/Cdca2/Cdca8/Cdk1/Cenpe/Chfr/Cit/Fbxo5/Gen1/Hecw2/Kif2c/Kntc1/Mad2l1/Mki67/Ncapd3/Ncapg/Ncaph/Ndc80/Nek6/Nuf2/Plk1/Rad18/Rad21/Rb1/Smc2/Smc4/Spc24/Spc25/Spdl1/Tacc3/Ttk,35
